Data set,"QS World University Rankings 2026 - Citations per Faculty"
Entity,"Universidade Estadual de Campinas"

"Year range","2019 to 2023"
Subject classification,"QS"
Filtered by,"All subject areas"

Types of publications included
Gross,"All types"
QS,"Article, review, conference paper, book, book chapter, article in press"

Self-citations
Gross,Included
QS,Author-level excluded

Data source,Scopus
Date last updated,9 February 2023
Date exported,31 March 2026

Citation per Faculty Score,37.2

"QS metrics","Scholarly Output (QS)","Excluded Scholarly Output","Total Scholarly Output","Citations (QS)","Excluded self-citations","Total Citations","Normalized Total Citation Count (QS)","Weighting Factor (QS)","Weighting Adjustment Ratio (QS)"
Arts & Humanities,1057,51,1108,1296,583,1879,4829,14.59,0.26
Engineering & Technology,10531,377,10908,96244,33306,129550,86077,0.63,1.43
Life Sciences & Medicine,14952,1109,16061,159172,68347,227519,139108,0.61,1.43
Natural Sciences,8926,973,9899,81817,51722,133539,102764,0.88,1.43
Social Sciences & Management,3918,168,4086,28792,8011,36803,23458,1.8,0.45
Total,39384,2678,42062,367321,161969,529290,244297,N/A,N/A
Deduplicated Count,28084,2184,30268,256839,121536,378375,N/A,N/A,N/A

"© 2026 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."


